,frequency,month
十一届三中全会,2,200807
十一届三中全会,1,200808
十一届三中全会,7,200809
十一届三中全会,21,200810
十一届三中全会,8,200811
十一届三中全会,190,200812
十一届三中全会,3,201807
十一届三中全会,3,201808
十一届三中全会,0,201809
十一届三中全会,9,201810
十一届三中全会,10,201811
